name,pkg,bench,iters,ns_per_op,bytes_per_op,allocs_per_op,mb_per_s
pflist/BenchmarkBranching_SliceCopy/n=65536-8,pflist,BenchmarkBranching_SliceCopy/n=65536-8,1914,552455,2375692,4,
marray/BenchmarkMArrayPush/n=10-8,marray,BenchmarkMArrayPush/n=10-8,826989,1317,504,20,
marray/BenchmarkMArrayPush/n=100-8,marray,BenchmarkMArrayPush/n=100-8,76938,16818,6208,200,
marray/BenchmarkMArrayPush/n=1000-8,marray,BenchmarkMArrayPush/n=1000-8,9213,127806,72480,2000,
marray/BenchmarkMArrayPush/n=10000-8,marray,BenchmarkMArrayPush/n=10000-8,961,1325849,893831,20000,
marray/BenchmarkMArrayPop/n=10-8,marray,BenchmarkMArrayPop/n=10-8,510279,2984,192,8,
marray/BenchmarkMArrayPop/n=100-8,marray,BenchmarkMArrayPop/n=100-8,173032,9247,1200,26,
marray/BenchmarkMArrayPop/n=1000-8,marray,BenchmarkMArrayPop/n=1000-8,30072,37691,9170,76,
marray/BenchmarkMArrayPop/n=10000-8,marray,BenchmarkMArrayPop/n=10000-8,5091,245001,81552,91,
marray/BenchmarkMArrayGet/Front_n=10-8,marray,BenchmarkMArrayGet/Front_n=10-8,49986122,38.25,0,0,
marray/BenchmarkMArrayGet/Middle_n=10-8,marray,BenchmarkMArrayGet/Middle_n=10-8,62964291,40.34,0,0,
marray/BenchmarkMArrayGet/Back_n=10-8,marray,BenchmarkMArrayGet/Back_n=10-8,36058623,43.58,0,0,
marray/BenchmarkMArrayGet/Front_n=100-8,marray,BenchmarkMArrayGet/Front_n=100-8,39785229,35.87,0,0,
marray/BenchmarkMArrayGet/Middle_n=100-8,marray,BenchmarkMArrayGet/Middle_n=100-8,27545725,37.64,0,0,
marray/BenchmarkMArrayGet/Back_n=100-8,marray,BenchmarkMArrayGet/Back_n=100-8,43557109,35.29,0,0,
marray/BenchmarkMArrayGet/Front_n=1000-8,marray,BenchmarkMArrayGet/Front_n=1000-8,66053953,34.35,0,0,
marray/BenchmarkMArrayGet/Middle_n=1000-8,marray,BenchmarkMArrayGet/Middle_n=1000-8,67204929,19.34,0,0,
marray/BenchmarkMArrayGet/Back_n=1000-8,marray,BenchmarkMArrayGet/Back_n=1000-8,47856819,28.86,0,0,
marray/BenchmarkMArrayGet/Front_n=10000-8,marray,BenchmarkMArrayGet/Front_n=10000-8,77035128,26.15,0,0,
marray/BenchmarkMArrayGet/Middle_n=10000-8,marray,BenchmarkMArrayGet/Middle_n=10000-8,54026492,20.14,0,0,
marray/BenchmarkMArrayGet/Back_n=10000-8,marray,BenchmarkMArrayGet/Back_n=10000-8,61754881,26.95,0,0,
marray/BenchmarkMArrayIteration/n=10-8,marray,BenchmarkMArrayIteration/n=10-8,6294884,284.7,0,0,
marray/BenchmarkMArrayIteration/n=100-8,marray,BenchmarkMArrayIteration/n=100-8,546171,2477,0,0,
marray/BenchmarkMArrayIteration/n=1000-8,marray,BenchmarkMArrayIteration/n=1000-8,56233,28122,0,0,
marray/BenchmarkMArrayIteration/n=10000-8,marray,BenchmarkMArrayIteration/n=10000-8,10000,185173,0,0,
pfqueue/BenchmarkPFQueuePushFront/n=10-8,pfqueue,BenchmarkPFQueuePushFront/n=10-8,336241,3638,504,20,
pfqueue/BenchmarkPFQueuePushFront/n=100-8,pfqueue,BenchmarkPFQueuePushFront/n=100-8,36552,37104,6208,200,
pfqueue/BenchmarkPFQueuePushFront/n=1000-8,pfqueue,BenchmarkPFQueuePushFront/n=1000-8,3748,399593,72480,2000,
pfqueue/BenchmarkPFQueuePushFront/n=10000-8,pfqueue,BenchmarkPFQueuePushFront/n=10000-8,309,5707793,893831,20000,
pfqueue/BenchmarkPFQueuePopBack/n=10-8,pfqueue,BenchmarkPFQueuePopBack/n=10-8,10000,466252,152,6,
pfqueue/BenchmarkPFQueuePopBack/n=100-8,pfqueue,BenchmarkPFQueuePopBack/n=100-8,10000,4930626,696,12,
pfqueue/BenchmarkPFQueuePopBack/n=1000-8,pfqueue,BenchmarkPFQueuePopBack/n=1000-8,10000,51939601,4381,18,
pfqueue/BenchmarkPFQueuePopBack/n=10000-8,pfqueue,BenchmarkPFQueuePopBack/n=10000-8,3537,20743342,66063,29,
pfdeque/BenchmarkPFDequePushFront/n=10-8,pfdeque,BenchmarkPFDequePushFront/n=10-8,702969,1775,504,20,
pfdeque/BenchmarkPFDequePushFront/n=100-8,pfdeque,BenchmarkPFDequePushFront/n=100-8,72541,17207,6208,200,
pfdeque/BenchmarkPFDequePushFront/n=1000-8,pfdeque,BenchmarkPFDequePushFront/n=1000-8,5848,203771,72480,2000,
pfdeque/BenchmarkPFDequePushFront/n=10000-8,pfdeque,BenchmarkPFDequePushFront/n=10000-8,610,2061070,893831,20000,
pfdeque/BenchmarkPFDequePushBack/n=10-8,pfdeque,BenchmarkPFDequePushBack/n=10-8,546334,2024,504,20,
pfdeque/BenchmarkPFDequePushBack/n=100-8,pfdeque,BenchmarkPFDequePushBack/n=100-8,67324,22333,6208,200,
pfdeque/BenchmarkPFDequePushBack/n=1000-8,pfdeque,BenchmarkPFDequePushBack/n=1000-8,5092,286440,72480,2000,
pfdeque/BenchmarkPFDequePushBack/n=10000-8,pfdeque,BenchmarkPFDequePushBack/n=10000-8,319,3410026,893830,20000,
pfdeque/BenchmarkPFDequePopFront/n=10-8,pfdeque,BenchmarkPFDequePopFront/n=10-8,799501,1840,192,8,
pfdeque/BenchmarkPFDequePopFront/n=100-8,pfdeque,BenchmarkPFDequePopFront/n=100-8,73941,15123,1192,26,
pfdeque/BenchmarkPFDequePopFront/n=1000-8,pfdeque,BenchmarkPFDequePopFront/n=1000-8,10000,129419,9168,76,
pfdeque/BenchmarkPFDequePopFront/n=10000-8,pfdeque,BenchmarkPFDequePopFront/n=10000-8,1318,1162974,81369,88,
pfdeque/BenchmarkPFDequePopBack/n=10-8,pfdeque,BenchmarkPFDequePopBack/n=10-8,10000,428912,152,6,
pfdeque/BenchmarkPFDequePopBack/n=100-8,pfdeque,BenchmarkPFDequePopBack/n=100-8,10000,3888797,696,12,
pfdeque/BenchmarkPFDequePopBack/n=1000-8,pfdeque,BenchmarkPFDequePopBack/n=1000-8,10000,23065674,4381,18,
pfdeque/BenchmarkPFDequePopBack/n=10000-8,pfdeque,BenchmarkPFDequePopBack/n=10000-8,2410,5372312,66118,31,
